%randomly generated instance
%vessels
3
100	25000	0.23
200	30000	0.28
300	35000	0.33
%ports
60
1	ContinentalPort	CP	0	0
2	Port2	RP	9	49
3	Port3	RP	32	40
4	Port4	RP	29	35
5	Port5	RP	6	1
6	Port6	RP	6	59
7	Port7	RP	15	12
8	Port8	RP	23	6
9	Port9	RP	17	66
10	Port10	RP	61	31
11	Port11	RP	22	40
12	Port12	RP	0	2
13	Port13	RP	9	89
14	Port14	RP	17	62
15	Port15	RP	0	59
16	Port16	RP	1	1
17	Port17	RP	5	5
18	Port18	RP	88	3
19	Port19	RP	4	27
20	Port20	RP	4	21
21	Port21	RP	30	27
22	Port22	RP	8	1
23	Port23	RP	10	10
24	Port24	RP	20	52
25	Port25	RP	55	21
26	Port26	RP	1	3
27	Port27	RP	33	2
28	Port28	RP	15	9
29	Port29	RP	10	40
30	Port30	RP	52	23
31	Port31	RP	70	14
32	Port32	RP	31	5
33	Port33	RP	13	38
34	Port34	RP	75	4
35	Port35	RP	6	72
36	Port36	RP	5	27
37	Port37	RP	1	78
38	Port38	RP	17	14
39	Port39	RP	22	34
40	Port40	RP	19	37
41	Port41	RP	22	23
42	Port42	RP	28	4
43	Port43	RP	3	1
44	Port44	RP	24	8
45	Port45	RP	2	7
46	Port46	RP	2	1
47	Port47	RP	11	29
48	Port48	RP	13	2
49	Port49	RP	27	14
50	Port50	RP	29	25
51	Port51	RP	7	9
52	Port52	RP	1	86
53	Port53	RP	34	3
54	Port54	RP	19	32
55	Port55	RP	15	57
56	Port56	RP	5	16
57	Port57	RP	0	96
58	Port58	RP	21	15
59	Port59	RP	1	6
60	Port60	RP	0	57
%distance table
0.000	354.945	696.778	893.834	1162.651	1234.190	1095.335	769.853	393.379	882.766	1304.627	1523.909	1884.039	2087.322	2155.563	1951.332	1599.131	1548.433	498.915	365.078	744.267	1185.001	1348.358	511.768	828.862	820.776	795.518	985.483	1138.277	834.385	744.665	142.555	426.419	809.095	766.633	751.044	731.655	936.581	1048.900	1045.823	646.644	514.826	579.931	607.727	1570.261	1763.103	1807.303	1778.571	1822.008	1696.804	1683.470	1509.505	1654.937	1663.966	715.683	728.610	786.318	1152.864	494.137	757.342
354.945	0.000	453.488	844.304	1226.606	1386.315	1303.218	1037.247	489.263	947.941	1474.886	1812.177	2218.844	2436.913	2510.323	2300.379	1941.801	1868.373	817.447	686.059	1059.681	1492.509	1662.091	821.970	1073.442	1065.588	1086.720	1280.895	1434.272	1103.248	1007.705	212.526	74.144	535.332	563.466	492.660	431.612	899.204	1006.325	1047.986	681.515	541.246	628.587	672.811	1925.175	2117.983	2161.677	2129.705	2175.809	2051.705	2019.008	1851.053	1999.531	2004.710	1067.946	1083.530	1138.465	1497.248	739.121	1065.608
696.778	453.488	0.000	521.261	977.078	1230.221	1232.694	1090.576	939.989	1399.026	1926.237	2219.178	2566.188	2738.211	2745.024	2484.777	2104.331	1963.349	992.001	889.409	1195.754	1576.377	1750.692	1208.205	1502.821	1494.796	1489.711	1681.189	1834.347	1520.929	1427.754	582.313	444.540	125.077	127.932	59.365	141.375	579.458	664.294	749.441	517.664	444.368	507.725	551.683	2174.417	2374.676	2429.730	2425.447	2451.063	2298.051	2153.784	2011.860	2168.488	2158.119	1311.990	1356.804	1377.732	1826.177	820.324	1186.668
893.834	844.304	521.261	0.000	464.110	758.595	832.205	842.985	1254.735	1749.244	2197.958	2335.608	2557.756	2653.014	2570.185	2258.685	1870.182	1664.611	907.521	868.541	1020.969	1293.655	1458.790	1352.564	1706.602	1698.636	1636.288	1809.130	1952.969	1695.646	1614.321	852.073	873.339	585.192	409.508	545.910	660.201	58.558	162.445	228.321	277.596	381.893	338.685	336.834	2040.592	2241.276	2309.096	2343.170	2339.294	2154.598	1886.804	1780.845	1938.314	1911.136	1246.292	1321.839	1296.911	1823.686	686.574	996.371
1162.651	1226.606	977.078	464.110	0.000	346.472	526.850	743.192	1554.049	2045.297	2414.065	2415.392	2519.089	2541.775	2379.218	2030.036	1651.023	1391.555	958.944	985.779	957.040	1068.440	1207.483	1519.587	1891.166	1883.756	1779.838	1925.368	2052.762	1857.692	1791.514	1171.181	1271.213	1048.752	871.913	1006.858	1117.986	410.239	373.221	246.185	546.211	688.945	604.561	565.811	1909.287	2100.834	2177.690	2245.750	2214.874	2008.601	1634.102	1569.962	1719.501	1677.109	1249.504	1342.745	1279.001	1826.481	764.232	921.382
1234.190	1386.315	1230.221	758.595	346.472	0.000	254.134	602.176	1623.373	2092.941	2384.675	2282.821	2305.372	2284.814	2082.900	1720.223	1351.466	1071.572	893.750	965.596	803.967	786.282	903.177	1485.486	1852.479	1845.791	1714.332	1833.495	1944.372	1802.955	1751.203	1281.291	1443.219	1320.753	1143.174	1269.959	1370.539	714.256	705.130	572.842	730.551	855.002	768.163	721.160	1651.936	1834.372	1914.916	2001.262	1955.388	1740.768	1318.918	1276.496	1418.785	1369.792	1113.692	1212.278	1125.324	1657.377	757.877	765.134
1095.335	1303.218	1232.694	832.205	526.850	254.134	0.000	379.356	1470.947	1919.927	2171.112	2036.369	2051.607	2038.196	1854.732	1503.188	1125.098	867.375	690.830	783.817	564.550	546.307	680.636	1279.394	1639.233	1632.928	1491.441	1600.024	1705.141	1583.475	1538.377	1166.364	1367.563	1338.486	1167.451	1280.510	1366.963	801.752	826.794	699.557	715.039	810.125	731.664	685.116	1404.604	1590.353	1669.709	1751.209	1709.166	1497.117	1107.882	1045.434	1193.424	1150.282	873.443	972.331	879.820	1405.982	601.510	525.813
769.853	1037.247	1090.576	842.985	743.192	602.176	379.356	0.000	1122.223	1552.417	1792.138	1690.511	1778.836	1827.735	1727.264	1423.686	1035.929	872.783	316.090	424.465	214.352	485.804	660.127	900.394	1260.078	1253.732	1114.832	1231.368	1344.143	1205.601	1159.152	866.474	1108.281	1211.129	1062.880	1146.639	1206.897	837.963	908.074	810.169	617.820	647.207	597.938	563.713	1204.751	1403.750	1474.535	1523.303	1507.296	1315.362	1069.496	944.874	1103.060	1082.626	517.468	614.816	539.012	1084.890	298.641	178.192
393.379	489.263	939.989	1254.735	1554.049	1623.373	1470.947	1122.223	0.000	496.087	986.274	1364.277	1838.769	2108.778	2260.686	2117.686	1802.160	1812.081	818.155	697.879	1047.362	1479.552	1628.216	469.877	608.711	601.370	667.609	855.787	1003.820	657.236	562.135	402.756	519.760	1024.400	1042.289	981.499	917.800	1302.619	1414.838	1425.248	1027.290	888.581	961.886	993.794	1679.672	1854.650	1882.560	1816.955	1887.222	1803.996	1907.787	1718.974	1849.000	1872.384	912.597	882.464	977.669	1168.577	871.963	1069.904
882.766	947.941	1399.026	1749.244	2045.297	2092.941	1919.927	1552.417	496.087	0.000	596.081	1189.656	1778.701	2117.975	2366.211	2302.589	2043.545	2121.676	1236.779	1136.205	1435.607	1836.283	1962.950	705.144	528.891	526.966	700.257	818.220	922.231	623.046	570.619	897.448	956.537	1466.079	1511.404	1432.796	1350.723	1797.879	1909.930	1921.266	1523.022	1384.655	1457.368	1488.330	1820.744	1963.491	1970.180	1863.727	1962.401	1934.458	2168.844	1971.729	2077.929	2116.696	1222.333	1158.679	1273.356	1252.156	1335.110	1465.189
1304.627	1474.886	1926.237	2197.958	2414.065	2384.675	2171.112	1792.138	986.274	596.081	0.000	729.298	1374.988	1763.238	2103.058	2137.407	1967.648	2132.277	1491.019	1433.454	1620.662	1936.041	2020.675	900.933	532.376	538.954	689.127	650.676	649.038	591.488	633.592	1368.720	1499.420	2008.921	2026.593	1967.495	1899.424	2239.132	2350.984	2336.418	1941.760	1817.113	1874.821	1895.519	1639.320	1730.944	1712.462	1568.375	1691.049	1729.870	2109.832	1916.358	1983.335	2039.209	1334.690	1243.307	1358.891	1085.338	1654.428	1657.348
1523.909	1812.177	2219.178	2335.608	2415.392	2282.821	2036.369	1690.511	1364.277	1189.656	729.298	0.000	648.338	1046.969	1429.061	1539.542	1470.350	1713.533	1462.732	1470.753	1480.515	1642.017	1666.949	1012.519	757.233	764.223	729.624	538.495	386.742	710.695	806.791	1639.322	1861.453	2326.839	2289.387	2271.757	2237.365	2361.819	2464.825	2411.575	2058.450	1967.866	1997.198	2000.876	1065.761	1099.397	1060.511	895.272	1029.315	1124.203	1617.727	1446.387	1464.961	1533.741	1173.048	1076.282	1157.503	653.424	1676.101	1519.094
1884.039	2218.844	2566.188	2557.756	2519.089	2305.372	2051.607	1778.836	1838.769	1778.701	1374.988	648.338	0.000	411.126	851.853	1074.575	1160.108	1468.599	1650.958	1709.587	1568.581	1549.260	1504.545	1400.945	1279.632	1284.531	1172.587	993.617	862.735	1202.522	1289.802	2019.225	2280.154	2685.272	2610.096	2623.618	2615.090	2570.206	2659.102	2577.819	2286.185	2230.128	2234.993	2225.070	726.275	641.501	568.444	394.257	522.049	710.641	1292.944	1177.201	1126.223	1202.582	1311.507	1238.535	1263.471	742.864	1871.254	1601.855
2087.322	2436.913	2738.211	2653.014	2541.775	2284.814	2038.196	1827.735	2108.778	2117.975	1763.238	1046.969	411.126	0.000	476.828	786.924	995.352	1319.598	1769.057	1853.020	1633.443	1499.873	1411.426	1647.027	1598.562	1602.216	1462.434	1305.334	1196.964	1511.977	1589.584	2228.291	2503.678	2861.414	2764.734	2797.172	2804.881	2656.548	2733.980	2637.710	2394.228	2361.279	2351.145	2333.360	633.691	455.490	371.765	313.250	329.511	548.944	1100.422	1042.794	942.744	1015.275	1432.095	1381.414	1371.071	945.134	1979.142	1660.648
2155.563	2510.323	2745.024	2570.185	2379.218	2082.900	1854.732	1727.264	2260.686	2366.211	2103.058	1429.061	851.853	476.828	0.000	392.319	731.437	1031.186	1753.026	1861.419	1565.467	1310.915	1179.730	1791.358	1837.426	1839.248	1672.358	1553.100	1480.204	1743.264	1804.071	2297.803	2581.938	2870.101	2749.525	2804.297	2832.007	2563.211	2625.115	2514.397	2335.034	2330.711	2303.147	2276.765	586.485	407.346	397.340	536.812	412.686	459.991	784.113	809.371	664.293	718.286	1447.004	1427.181	1377.600	1117.527	1938.378	1583.468
