%randomly generated instance
%vessels
3
100	25000	0.23
200	30000	0.28
300	35000	0.33
%ports
51
1	ContinentalPort	CP	0	0
2	Port2	RP	3	53
3	Port3	RP	6	57
4	Port4	RP	12	14
5	Port5	RP	32	19
6	Port6	RP	12	74
7	Port7	RP	19	4
8	Port8	RP	8	1
9	Port9	RP	19	52
10	Port10	RP	6	4
11	Port11	RP	7	47
12	Port12	RP	37	58
13	Port13	RP	7	67
14	Port14	RP	21	3
15	Port15	RP	0	1
16	Port16	RP	6	5
17	Port17	RP	5	35
18	Port18	RP	47	1
19	Port19	RP	1	9
20	Port20	RP	0	77
21	Port21	RP	42	30
22	Port22	RP	28	2
23	Port23	RP	9	12
24	Port24	RP	53	21
25	Port25	RP	3	29
26	Port26	RP	0	26
27	Port27	RP	0	16
28	Port28	RP	1	26
29	Port29	RP	13	15
30	Port30	RP	52	10
31	Port31	RP	34	44
32	Port32	RP	5	4
33	Port33	RP	19	21
34	Port34	RP	3	55
35	Port35	RP	20	1
36	Port36	RP	49	40
37	Port37	RP	27	67
38	Port38	RP	9	3
39	Port39	RP	0	28
40	Port40	RP	9	34
41	Port41	RP	79	3
42	Port42	RP	3	13
43	Port43	RP	53	2
44	Port44	RP	14	23
45	Port45	RP	52	29
46	Port46	RP	74	2
47	Port47	RP	7	42
48	Port48	RP	0	1
49	Port49	RP	24	15
50	Port50	RP	1	39
51	Port51	RP	51	39
%distance table
0.000	1526.800	2115.298	1468.037	1138.399	1300.341	1613.143	2027.025	2120.481	1665.473	1187.811	1391.085	1697.397	1617.243	1358.755	2391.450	2294.585	1935.849	1163.865	1504.064	1915.823	1743.676	2195.129	2285.178	2214.225	2140.036	1087.586	1042.121	1314.795	1585.557	1848.090	2024.425	1924.258	1946.423	1822.193	1493.042	2820.439	2615.545	2433.322	2438.611	2620.404	2794.126	2847.746	2552.247	2466.626	2659.295	2192.646	2359.634	2422.794	2665.156	2594.562
1526.800	0.000	972.112	432.962	416.669	235.291	155.962	572.692	805.533	467.270	346.302	369.563	182.633	777.391	265.409	1160.501	789.290	410.615	372.390	365.507	667.287	756.684	1131.183	954.459	790.203	639.466	580.634	508.563	517.195	272.195	321.375	546.677	588.839	486.791	326.340	143.715	1503.508	1412.573	1472.728	1589.378	1733.093	1659.142	1606.664	1398.576	1475.244	1694.933	1423.314	1113.523	1292.843	1323.308	1557.345
2115.298	972.112	0.000	696.717	1094.526	1133.120	1069.184	575.024	275.577	533.722	1105.101	1340.903	983.773	511.291	902.410	282.292	758.563	929.864	1224.644	700.923	306.409	372.607	170.419	318.143	488.709	706.963	1048.822	1347.616	1484.558	1212.902	900.347	635.482	409.521	611.539	745.172	867.014	2039.984	2082.189	2287.810	2438.443	2550.622	2342.301	2207.321	2109.836	2274.676	2479.786	2317.980	1809.653	2040.239	1866.302	2320.010
1468.037	432.962	696.717	0.000	398.202	487.493	584.870	601.495	653.073	197.719	417.524	744.165	564.194	354.301	231.663	950.536	896.687	697.799	547.517	77.516	450.762	376.565	823.937	818.323	758.387	749.227	380.595	659.251	864.012	703.347	611.558	619.876	459.652	536.853	486.534	289.250	1887.395	1826.029	1905.381	2021.880	2166.016	2077.815	2008.150	1819.518	1907.159	2126.476	1851.222	1527.557	1718.375	1704.655	1986.506
1138.399	416.669	1094.526	398.202	0.000	252.891	544.625	891.156	1025.035	574.538	87.310	506.807	599.005	703.303	223.142	1342.699	1156.501	822.330	205.115	401.515	833.490	764.959	1220.949	1189.859	1086.977	1001.881	207.769	274.608	572.567	588.299	730.321	886.293	812.549	809.158	685.278	355.793	1890.061	1766.198	1753.395	1839.858	2001.463	1999.081	1975.066	1737.061	1765.845	1985.409	1638.447	1471.628	1620.333	1713.642	1865.353
1300.341	235.291	1133.120	487.493	252.891	0.000	317.470	798.358	1002.613	601.293	165.699	272.185	397.121	838.291	256.374	1348.499	1024.472	636.693	138.113	448.443	839.450	858.687	1280.640	1159.436	1012.570	874.081	456.332	273.272	377.087	337.464	551.408	777.132	782.318	712.156	558.040	272.003	1642.277	1513.488	1507.197	1600.479	1758.415	1746.296	1723.407	1484.244	1517.929	1737.981	1407.698	1219.429	1367.911	1467.524	1615.072
1613.143	155.962	1069.184	584.870	544.625	317.470	0.000	600.834	873.005	594.892	464.716	319.642	109.509	922.548	419.203	1231.308	764.686	340.757	450.132	514.323	763.048	889.477	1233.970	1008.646	818.634	626.926	724.337	573.302	471.917	143.754	271.111	561.103	667.737	520.401	352.825	297.121	1354.178	1257.140	1321.088	1442.078	1582.497	1503.225	1453.047	1242.615	1322.324	1541.608	1283.989	958.185	1137.121	1175.198	1402.556
2027.025	572.692	575.024	601.495	891.156	798.358	600.834	0.000	314.727	425.407	855.192	915.894	494.665	733.756	668.791	657.552	298.017	366.637	927.382	542.495	333.413	611.710	743.720	417.916	219.029	165.935	961.214	1065.626	1068.865	735.591	362.526	60.509	214.707	86.220	250.979	546.224	1482.660	1508.835	1717.573	1872.800	1979.365	1769.208	1641.884	1534.922	1702.705	1905.899	1766.471	1234.630	1465.736	1304.911	1745.422
2120.481	805.533	275.577	653.073	1025.035	1002.613	873.005	314.727	0.000	457.057	1013.876	1171.316	775.480	616.592	809.166	358.305	485.760	680.304	1114.715	626.418	206.759	467.785	437.355	165.581	219.065	433.051	1032.966	1248.092	1321.696	1014.837	665.896	374.502	220.315	369.308	525.542	731.007	1764.578	1811.685	2031.756	2187.521	2293.157	2071.369	1932.922	1842.394	2016.262	2217.929	2079.377	1543.568	1777.030	1591.349	2056.382
1665.473	467.270	533.722	197.719	574.538	601.293	594.892	425.407	457.057	0.000	575.071	825.378	538.767	356.588	370.271	768.996	723.416	603.442	691.254	173.053	259.199	295.297	679.499	622.605	564.248	583.885	578.241	816.427	962.330	732.290	530.983	454.442	263.127	374.325	377.659	342.839	1805.992	1775.372	1899.594	2030.137	2163.165	2032.556	1941.800	1780.061	1895.841	2111.898	1878.561	1481.217	1688.548	1623.363	1963.685
