%randomly generated instance
%vessels
3
100	25000	0.23
200	30000	0.28
300	35000	0.33
%ports
31
1	ContinentalPort	CP	0	0
2	Port2	RP	44	8
3	Port3	RP	6	9
4	Port4	RP	13	27
5	Port5	RP	53	11
6	Port6	RP	11	27
7	Port7	RP	9	29
8	Port8	RP	11	47
9	Port9	RP	0	6
10	Port10	RP	52	22
11	Port11	RP	59	8
12	Port12	RP	22	8
13	Port13	RP	4	81
14	Port14	RP	9	34
15	Port15	RP	28	47
16	Port16	RP	2	49
17	Port17	RP	51	26
18	Port18	RP	42	19
19	Port19	RP	52	18
20	Port20	RP	58	6
21	Port21	RP	29	33
22	Port22	RP	39	57
23	Port23	RP	20	7
24	Port24	RP	63	5
25	Port25	RP	6	13
26	Port26	RP	8	18
27	Port27	RP	15	39
28	Port28	RP	6	15
29	Port29	RP	1	6
30	Port30	RP	11	29
31	Port31	RP	17	1
%distance table
0.000	1072.478	940.597	866.222	950.227	960.557	1054.334	1235.646	1299.972	1236.021	1294.038	1149.780	994.511	858.800	899.403	1044.333	1163.362	1251.222	1082.932	654.823	703.972	703.972	2008.505	1803.584	1801.104	1917.969	2029.469	2028.167	2124.630	2181.132	2195.846
1072.478	0.000	139.513	347.450	852.726	1065.472	736.258	555.690	438.217	285.281	221.563	96.506	302.806	680.681	963.578	951.025	700.127	563.646	1471.206	963.891	560.467	560.467	1116.767	1049.443	1077.510	1241.302	1377.607	1400.658	1357.244	1303.907	1299.868
940.597	139.513	0.000	233.479	751.270	955.510	656.708	537.938	468.903	340.968	357.125	209.300	236.783	572.604	851.980	856.198	644.616	548.981	1351.489	833.446	430.472	430.472	1183.166	1079.230	1100.915	1258.725	1393.010	1411.670	1396.949	1369.148	1369.927
866.222	347.450	233.479	0.000	518.178	722.661	436.953	411.082	434.726	380.776	527.300	370.226	128.447	339.155	619.510	624.696	451.917	425.624	1123.925	622.603	224.913	224.913	1154.473	990.607	1001.300	1145.349	1273.720	1285.507	1315.996	1333.472	1343.221
950.227	852.726	751.270	518.178	0.000	225.057	187.256	513.753	691.980	757.407	989.710	847.920	556.032	182.938	143.015	116.584	322.336	524.746	651.899	345.352	389.775	389.775	1220.945	946.636	927.565	1011.203	1106.949	1098.736	1242.522	1363.244	1391.654
960.557	1065.472	955.510	722.661	225.057	0.000	402.578	731.540	914.750	982.347	1211.698	1067.004	774.599	384.810	104.454	186.692	528.966	741.437	427.329	305.810	554.743	554.743	1398.959	1105.428	1078.121	1135.401	1212.805	1196.369	1378.220	1527.558	1560.422
1054.334	736.258	656.708	436.953	187.256	402.578	0.000	329.054	514.153	596.961	844.402	714.502	433.592	196.455	330.043	235.558	136.945	339.273	828.488	509.532	396.496	396.496	1042.000	780.466	767.158	868.123	975.657	973.838	1088.051	1190.573	1216.547
1235.646	555.690	537.938	411.082	513.753	731.540	329.054	0.000	197.042	323.181	587.710	496.953	313.775	440.138	656.586	558.297	211.895	15.576	1156.541	801.512	532.197	532.197	776.484	581.140	590.274	735.820	866.224	880.820	906.744	945.728	962.047
1299.972	438.217	468.903	434.726	691.980	914.750	514.153	197.042	0.000	159.314	412.822	357.909	307.937	586.810	832.673	748.147	407.429	193.676	1341.813	947.569	618.335	618.335	726.534	613.756	639.785	803.086	939.411	962.927	928.432	909.571	915.241
1236.021	285.281	340.968	380.776	757.407	982.347	596.961	323.181	159.314	0.000	264.545	199.813	257.619	620.967	890.917	831.551	515.156	325.589	1407.887	965.980	595.420	595.420	843.038	764.544	793.790	958.916	1095.565	1120.253	1072.326	1029.479	1029.272
1294.038	221.563	357.125	527.300	989.710	1211.698	844.402	587.710	412.822	264.545	0.000	158.128	440.212	833.601	1114.446	1074.713	774.888	590.055	1630.647	1149.239	751.174	751.174	979.995	972.701	1010.025	1178.596	1315.005	1344.508	1256.992	1165.310	1154.056
1149.780	96.506	209.300	370.226	847.920	1067.004	714.502	496.953	357.909	199.813	158.128	0.000	292.412	685.115	967.753	938.941	661.490	502.913	1481.830	992.744	593.435	593.435	1021.451	963.073	993.255	1158.675	1295.349	1320.035	1267.109	1208.606	1204.013
994.511	302.806	236.783	128.447	556.032	774.599	433.592	313.775	307.937	257.619	440.212	292.412	0.000	393.653	675.640	650.110	408.616	326.689	1190.806	718.009	337.938	337.938	1031.447	882.488	897.378	1047.863	1179.375	1194.548	1206.486	1212.183	1220.310
858.800	680.681	572.604	339.155	182.938	384.810	196.455	440.138	586.810	620.967	833.601	685.115	393.653	0.000	283.276	296.427	309.460	454.254	797.155	362.866	217.028	217.028	1202.362	960.391	951.751	1060.542	1170.672	1169.734	1274.657	1360.462	1382.721
899.403	963.578	851.980	619.510	143.015	104.454	330.043	656.586	832.673	890.917	1114.446	967.753	675.640	283.276	0.000	162.405	463.976	667.690	517.494	252.648	450.816	450.816	1356.152	1073.952	1051.314	1123.190	1210.328	1197.936	1360.563	1493.611	1523.750
1044.333	951.025	856.198	624.696	116.584	186.692	235.558	558.297	748.147	831.551	1074.713	938.941	650.110	296.427	162.405	0.000	349.863	566.872	600.215	410.847	506.254	506.254	1212.704	921.923	896.547	962.717	1048.180	1035.547	1201.972	1343.472	1375.519
1163.362	700.127	644.616	451.917	322.336	528.966	136.945	211.895	407.429	515.156	774.888	661.490	408.616	309.460	463.976	349.863	0.000	218.827	949.976	644.585	476.763	476.763	905.961	651.619	642.293	754.850	869.932	872.870	965.297	1057.006	1081.859
1251.222	563.646	548.981	425.624	524.746	741.437	339.273	15.576	193.676	325.589	590.055	502.913	326.689	454.254	667.690	566.872	218.827	0.000	1165.809	815.221	547.763	547.763	761.031	566.091	575.676	722.051	852.849	867.893	891.698	930.160	946.527
1082.932	1471.206	1351.489	1123.925	651.899	427.329	828.488	1156.541	1341.813	1407.887	1630.647	1481.830	1190.806	797.155	517.494	600.215	949.976	1165.809	0.000	549.901	927.061	927.061	1781.452	1472.155	1436.547	1460.786	1511.541	1484.995	1709.747	1891.863	1929.714
654.823	963.891	833.446	622.603	345.352	305.810	509.532	801.512	947.569	965.980	1149.239	992.744	718.009	362.866	252.648	410.847	644.585	815.221	549.901	0.000	403.530	403.530	1550.434	1287.505	1270.721	1356.507	1450.655	1440.915	1587.339	1700.018	1726.033
703.972	560.467	430.472	224.913	389.775	554.743	396.496	532.197	618.335	595.420	751.174	593.435	337.938	217.028	450.816	506.254	476.763	547.763	927.061	403.530	0.000	0.000	1307.405	1101.502	1101.624	1227.067	1345.581	1349.502	1424.453	1477.922	1493.829
703.972	560.467	430.472	224.913	389.775	554.743	396.496	532.197	618.335	595.420	751.174	593.435	337.938	217.028	450.816	506.254	476.763	547.763	927.061	403.530	0.000	0.000	1307.405	1101.502	1101.624	1227.067	1345.581	1349.502	1424.453	1477.922	1493.829
2008.505	1116.767	1183.166	1154.473	1220.945	1398.959	1042.000	776.484	726.534	843.038	979.995	1021.451	1031.447	1202.362	1356.152	1212.704	905.961	761.031	1781.452	1550.434	1307.405	1307.405	0.000	321.286	369.819	453.194	537.746	585.565	345.818	187.155	188.864
1803.584	1049.443	1079.230	990.607	946.636	1105.428	780.466	581.140	613.756	764.544	972.701	963.073	882.488	960.391	1073.952	921.923	651.619	566.091	1472.155	1287.505	1101.502	1101.502	321.286	0.000	56.022	212.973	345.616	380.677	325.607	422.420	457.833
1801.104	1077.510	1100.915	1001.300	927.565	1078.121	767.158	590.274	639.785	793.790	1010.025	993.255	897.378	951.751	1051.314	896.547	642.293	575.676	1436.547	1270.721	1101.624	1101.624	369.819	56.022	0.000	168.839	304.980	336.221	323.591	455.319	494.327
1917.969	1241.302	1258.725	1145.349	1011.203	1135.401	868.123	735.820	803.086	958.916	1178.596	1158.675	1047.863	1060.542	1123.190	962.717	754.850	722.051	1460.786	1356.507	1227.067	1227.067	453.194	212.973	168.839	0.000	136.833	167.925	249.071	472.545	521.296
2029.469	1377.607	1393.010	1273.720	1106.949	1212.805	975.657	866.224	939.411	1095.565	1315.005	1295.349	1179.375	1170.672	1210.328	1048.180	869.932	852.849	1511.541	1450.655	1345.581	1345.581	537.746	345.616	304.980	136.833	0.000	48.811	245.595	510.873	563.123
2028.167	1400.658	1411.670	1285.507	1098.736	1196.369	973.838	880.820	962.927	1120.253	1344.508	1320.035	1194.548	1169.734	1197.936	1035.547	872.870	867.893	1484.995	1440.915	1349.502	1349.502	585.565	380.677	336.221	167.925	48.811	0.000	292.533	559.220	611.549
2124.630	1357.244	1396.949	1315.996	1242.522	1378.220	1088.051	906.744	928.432	1072.326	1256.992	1267.109	1206.486	1274.657	1360.563	1201.972	965.297	891.698	1709.747	1587.339	1424.453	1424.453	345.818	325.607	323.591	249.071	245.595	292.533	0.000	271.222	323.969
2181.132	1303.907	1369.148	1333.472	1363.244	1527.558	1190.573	945.728	909.571	1029.479	1165.310	1208.606	1212.183	1360.462	1493.611	1343.472	1057.006	930.160	1891.863	1700.018	1477.922	1477.922	187.155	422.420	455.319	472.545	510.873	559.220	271.222	0.000	52.747
2195.846	1299.868	1369.927	1343.221	1391.654	1560.422	1216.547	962.047	915.241	1029.272	1154.056	1204.013	1220.310	1382.721	1523.750	1375.519	1081.859	946.527	1929.714	1726.033	1493.829	1493.829	188.864	457.833	494.327	521.296	563.123	611.549	323.969	52.747	0.000
EOF
