%randomly generated instance
%vessels
3
100	25000	0.23
200	30000	0.28
300	35000	0.33
%ports
40
1	ContinentalPort	CP	0	0
2	Port2	RP	49	17
3	Port3	RP	9	9
4	Port4	RP	36	57
5	Port5	RP	32	62
6	Port6	RP	72	27
7	Port7	RP	4	18
8	Port8	RP	12	62
9	Port9	RP	62	3
10	Port10	RP	3	2
11	Port11	RP	9	26
12	Port12	RP	29	30
13	Port13	RP	0	4
14	Port14	RP	7	4
15	Port15	RP	1	3
16	Port16	RP	8	32
17	Port17	RP	31	3
18	Port18	RP	9	17
19	Port19	RP	22	31
20	Port20	RP	12	53
21	Port21	RP	16	36
22	Port22	RP	45	6
23	Port23	RP	82	3
24	Port24	RP	0	1
25	Port25	RP	60	37
26	Port26	RP	44	42
27	Port27	RP	2	50
28	Port28	RP	18	2
29	Port29	RP	2	5
30	Port30	RP	18	49
31	Port31	RP	61	34
32	Port32	RP	78	9
33	Port33	RP	9	38
34	Port34	RP	33	1
35	Port35	RP	57	21
36	Port36	RP	9	22
37	Port37	RP	16	15
38	Port38	RP	51	11
39	Port39	RP	11	31
40	Port40	RP	4	25
%distance table
0.000	538.754	417.263	495.930	465.415	821.071	766.085	871.809	791.561	792.070	819.752	546.563	621.731	750.789	710.919	687.988	443.297	637.860	635.252	639.345	770.628	918.276	894.347	740.647	927.989	927.146	783.441	774.763	771.737	752.572	704.920	688.881	546.263	628.708	673.067	668.546	364.255	398.230	222.266	433.830
538.754	0.000	320.462	264.977	274.729	302.114	230.154	337.068	456.650	513.970	557.084	1084.161	1157.833	1286.892	1231.841	1209.600	866.346	1070.455	993.632	987.948	1168.158	1193.083	1155.012	1106.832	1093.342	987.773	751.612	657.732	614.548	568.309	651.862	546.356	512.596	620.576	1208.166	1195.083	900.795	936.822	758.193	921.578
417.263	320.462	0.000	96.954	65.562	608.196	518.421	619.085	375.198	376.531	407.101	901.772	1007.899	1090.542	1005.552	985.087	593.082	788.058	689.926	682.094	1174.271	1277.987	1246.952	1133.414	1233.810	1173.802	965.555	900.138	869.447	830.014	867.471	789.852	703.550	813.379	1010.692	978.738	757.977	779.280	625.153	680.012
495.930	264.977	96.954	0.000	32.561	532.417	438.234	534.880	299.791	318.490	355.136	995.456	1098.233	1185.864	1102.331	1081.801	689.056	882.325	778.779	770.005	1237.180	1322.174	1289.047	1191.300	1261.931	1186.987	967.366	890.573	854.492	811.801	867.674	778.704	709.623	820.748	1105.964	1075.125	845.959	869.492	710.274	776.930
465.415	274.729	65.562	32.561	0.000	552.034	459.752	558.458	327.900	341.398	376.320	962.908	1065.979	1153.335	1070.212	1049.631	658.585	853.016	752.243	743.899	1210.723	1300.784	1268.235	1166.120	1245.189	1174.784	958.604	885.480	851.180	809.548	859.312	773.980	699.097	810.004	1073.431	1042.791	814.000	837.235	678.736	745.007
821.071	302.114	608.196	532.417	552.034	0.000	100.393	88.837	593.400	673.449	715.576	1366.841	1427.176	1571.660	1525.845	1503.306	1168.442	1372.544	1292.700	1286.290	1350.671	1311.908	1269.600	1277.545	1164.496	1014.955	766.785	643.588	586.264	536.540	679.859	552.690	601.628	684.405	1494.132	1486.760	1173.645	1213.966	1032.582	1220.679
766.085	230.154	518.421	438.234	459.752	100.393	0.000	106.947	495.630	574.603	617.041	1312.437	1381.526	1515.833	1461.990	1439.753	1090.674	1293.157	1206.772	1199.625	1345.005	1329.119	1287.998	1276.050	1196.265	1058.775	811.013	693.932	639.270	589.125	718.625	594.549	619.368	712.298	1437.347	1425.158	1125.470	1163.167	983.167	1150.747
871.809	337.068	619.085	534.880	558.458	88.837	106.947	0.000	549.440	632.609	673.113	1418.325	1485.448	1622.002	1568.908	1546.660	1196.212	1398.108	1308.758	1301.147	1430.495	1398.353	1356.260	1358.829	1252.972	1103.749	855.601	732.150	674.634	625.009	768.614	641.501	687.467	772.197	1543.640	1531.959	1229.941	1268.283	1087.858	1257.560
791.561	456.650	375.198	299.791	327.900	593.400	495.630	549.440	0.000	85.339	123.757	1263.461	1377.359	1443.299	1342.610	1323.871	904.979	1074.645	939.188	925.770	1536.554	1611.805	1577.072	1489.305	1535.920	1441.825	1208.035	1113.320	1068.124	1020.578	1108.131	1002.440	963.598	1073.449	1364.275	1322.893	1130.921	1149.593	999.949	1017.007
792.070	513.970	376.531	318.490	341.398	673.449	574.603	632.609	85.339	0.000	43.663	1238.889	1358.950	1412.379	1304.841	1286.924	862.694	1023.273	881.207	866.882	1550.014	1640.619	1607.318	1507.035	1575.668	1490.371	1261.145	1171.451	1128.446	1081.864	1160.978	1059.799	1011.156	1121.911	1334.178	1288.295	1118.122	1133.104	992.084	981.782
819.752	557.084	407.101	355.136	376.320	715.576	617.041	673.113	123.757	43.663	0.000	1254.388	1377.285	1424.353	1313.205	1295.779	869.423	1023.882	877.650	862.711	1581.368	1676.931	1644.065	1539.903	1614.975	1531.657	1303.316	1214.366	1171.618	1125.138	1203.136	1102.644	1052.441	1163.310	1346.693	1298.453	1139.429	1152.693	1015.812	992.203
546.563	1084.161	901.772	995.456	962.908	1366.841	1312.437	1418.325	1263.461	1238.889	1254.388	0.000	152.417	205.645	225.866	206.014	437.621	451.182	589.850	607.151	686.016	968.287	969.231	722.806	1099.522	1194.284	1152.135	1194.515	1212.121	1208.843	1106.366	1139.466	986.013	1026.789	132.316	169.112	210.231	160.246	338.774	292.740
