%randomly generated instance
%vessels
3
100	25000	0.23
200	30000	0.28
300	35000	0.33
%ports
41
1	ContinentalPort	CP	0	0
2	Port2	RP	14	10
3	Port3	RP	61	4
4	Port4	RP	48	45
5	Port5	RP	19	34
6	Port6	RP	15	28
7	Port7	RP	2	38
8	Port8	RP	13	16
9	Port9	RP	63	33
10	Port10	RP	28	49
11	Port11	RP	1	2
12	Port12	RP	39	17
13	Port13	RP	9	13
14	Port14	RP	28	10
15	Port15	RP	18	36
16	Port16	RP	2	8
17	Port17	RP	49	31
18	Port18	RP	38	16
19	Port19	RP	0	5
20	Port20	RP	5	3
21	Port21	RP	13	22
22	Port22	RP	17	20
23	Port23	RP	37	6
24	Port24	RP	32	68
25	Port25	RP	45	52
26	Port26	RP	18	66
27	Port27	RP	4	26
28	Port28	RP	18	48
29	Port29	RP	2	1
30	Port30	RP	24	15
31	Port31	RP	20	19
32	Port32	RP	1	15
33	Port33	RP	25	1
34	Port34	RP	4	12
35	Port35	RP	37	45
36	Port36	RP	13	9
37	Port37	RP	59	29
38	Port38	RP	34	1
39	Port39	RP	1	3
40	Port40	RP	1	2
41	Port41	RP	19	34
%distance table
0.000	1556.970	1204.079	765.890	1570.384	1464.666	1367.120	1294.450	972.458	728.392	1027.387	627.209	691.855	895.935	1492.549	1562.022	1513.822	1419.616	1129.567	1008.583	856.527	1382.010	1455.358	1602.825	1314.411	1356.058	1312.423	1132.269	818.805	2690.926	2512.571	2602.881	2789.280	2768.948	2507.574	2364.702	2275.241	2464.614	2670.267	2792.966	2378.428
1556.970	0.000	373.019	1656.920	1315.371	307.057	735.932	1376.117	1423.545	1113.399	615.263	1484.440	1712.890	1613.216	1452.495	1180.679	458.618	375.399	660.119	1127.460	832.299	175.836	104.696	214.453	967.198	1108.154	1272.947	1437.372	1180.956	1485.537	1501.068	1606.292	1677.523	1617.621	1382.587	1437.459	1585.328	1593.634	1652.050	1694.120	1480.549
1204.079	373.019	0.000	1292.409	1107.733	296.098	540.013	1093.575	1084.227	746.966	250.609	1115.242	1343.710	1259.387	1205.756	992.034	419.738	288.861	348.934	800.251	463.736	219.940	268.532	403.488	726.057	866.288	1003.552	1120.490	825.295	1638.574	1571.415	1675.383	1796.034	1750.948	1495.769	1470.531	1539.822	1613.681	1731.618	1807.824	1504.611
765.890	1656.920	1292.409	0.000	1027.319	1434.069	1125.438	701.609	363.360	545.581	1043.108	199.997	117.804	160.792	879.250	1081.819	1397.829	1364.666	1021.469	612.565	829.116	1512.006	1555.483	1600.628	949.087	907.816	774.804	503.071	484.772	2356.360	2098.609	2170.815	2394.007	2396.512	2150.919	1931.797	1753.395	1992.575	2240.892	2390.707	1930.174
1570.384	1315.371	1107.733	1027.319	0.000	1008.429	584.018	327.260	668.759	858.077	946.175	1015.962	1143.225	876.844	204.907	143.870	868.357	941.074	778.444	566.895	899.510	1269.209	1253.917	1141.175	385.962	258.748	263.155	526.033	752.211	1380.645	1087.451	1151.589	1384.447	1397.427	1169.580	916.790	728.980	966.268	1221.529	1378.413	909.683
1464.666	307.057	296.098	1434.069	1008.429	0.000	431.400	1082.613	1165.420	907.333	442.274	1278.775	1503.844	1370.365	1148.928	873.680	162.797	74.675	412.600	864.349	647.021	304.271	258.944	167.246	666.722	805.999	976.030	1160.462	949.502	1344.826	1295.506	1400.484	1508.444	1460.364	1208.041	1207.306	1315.548	1356.920	1453.742	1521.319	1245.358
1367.120	735.932	540.013	1125.438	584.018	431.400	0.000	661.419	805.533	675.614	445.702	1008.874	1215.635	1029.596	717.530	457.421	314.652	360.567	274.441	514.545	522.039	685.965	670.313	579.538	239.455	375.429	550.852	765.886	659.834	1324.311	1160.830	1257.308	1427.122	1403.009	1141.143	1027.823	1030.816	1151.151	1321.723	1432.521	1051.205
1294.450	1376.117	1093.575	701.609	327.260	1082.613	661.419	0.000	348.759	626.864	879.232	706.760	818.246	549.695	198.100	406.073	975.980	1008.553	744.722	354.512	760.876	1289.698	1295.774	1238.566	422.397	301.041	115.091	198.998	500.253	1692.784	1411.204	1477.765	1708.102	1717.767	1482.950	1241.512	1051.856	1293.494	1547.779	1702.871	1236.015
972.458	1423.545	1084.227	363.360	668.759	1165.420	805.533	348.759	0.000	412.514	837.796	362.085	476.606	230.891	539.498	718.465	1101.338	1092.016	764.062	301.353	652.850	1300.810	1328.808	1332.023	604.342	547.923	412.230	161.818	285.264	1995.591	1735.252	1807.799	2030.669	2033.632	1789.246	1568.573	1397.375	1631.438	1877.865	2027.347	1567.419
728.392	1113.399	746.966	545.581	858.077	907.333	675.614	626.864	412.514	0.000	498.400	372.999	600.621	529.076	817.198	836.337	896.661	842.293	500.662	291.658	283.540	966.454	1011.175	1071.155	587.792	630.075	613.081	526.184	133.684	1990.990	1791.472	1879.351	2073.473	2058.547	1799.465	1639.959	1548.548	1736.737	1947.432	2075.668	1652.043
