%randomly generated instance
%vessels
3
100	25000	0.23
200	30000	0.28
300	35000	0.33
%ports
150
1	ContinentalPort	CP	0	0
2	Port2	RP	28	59
3	Port3	RP	7	15
4	Port4	RP	53	46
5	Port5	RP	30	53
6	Port6	RP	29	3
7	Port7	RP	9	6
8	Port8	RP	23	17
9	Port9	RP	74	22
10	Port10	RP	14	69
11	Port11	RP	48	8
12	Port12	RP	50	36
13	Port13	RP	65	26
14	Port14	RP	83	2
15	Port15	RP	6	29
16	Port16	RP	8	1
17	Port17	RP	6	3
18	Port18	RP	6	2
19	Port19	RP	6	60
20	Port20	RP	23	26
21	Port21	RP	21	46
22	Port22	RP	28	18
23	Port23	RP	18	41
24	Port24	RP	0	92
25	Port25	RP	15	13
26	Port26	RP	29	29
27	Port27	RP	13	22
28	Port28	RP	1	10
29	Port29	RP	19	72
30	Port30	RP	14	44
31	Port31	RP	62	31
32	Port32	RP	71	17
33	Port33	RP	2	15
34	Port34	RP	6	79
35	Port35	RP	6	3
36	Port36	RP	18	25
37	Port37	RP	16	28
38	Port38	RP	1	40
39	Port39	RP	3	18
40	Port40	RP	17	39
41	Port41	RP	9	53
42	Port42	RP	11	52
43	Port43	RP	18	30
44	Port44	RP	30	70
45	Port45	RP	42	35
46	Port46	RP	1	78
47	Port47	RP	6	38
48	Port48	RP	0	16
49	Port49	RP	12	40
50	Port50	RP	42	20
51	Port51	RP	17	62
52	Port52	RP	17	53
53	Port53	RP	26	27
54	Port54	RP	16	71
55	Port55	RP	37	9
56	Port56	RP	8	2
57	Port57	RP	41	24
58	Port58	RP	3	37
59	Port59	RP	13	10
60	Port60	RP	3	12
61	Port61	RP	10	10
62	Port62	RP	12	66
63	Port63	RP	20	9
64	Port64	RP	8	20
65	Port65	RP	41	44
66	Port66	RP	14	11
67	Port67	RP	46	32
68	Port68	RP	2	6
69	Port69	RP	25	4
70	Port70	RP	15	38
71	Port71	RP	33	51
72	Port72	RP	49	2
73	Port73	RP	20	67
74	Port74	RP	52	14
75	Port75	RP	3	28
76	Port76	RP	23	73
77	Port77	RP	10	69
78	Port78	RP	44	46
79	Port79	RP	91	6
80	Port80	RP	27	26
81	Port81	RP	14	27
82	Port82	RP	3	60
83	Port83	RP	9	79
84	Port84	RP	16	8
85	Port85	RP	48	3
86	Port86	RP	41	47
87	Port87	RP	12	34
88	Port88	RP	60	6
89	Port89	RP	1	2
90	Port90	RP	14	4
91	Port91	RP	29	26
92	Port92	RP	28	8
93	Port93	RP	26	35
94	Port94	RP	40	25
95	Port95	RP	11	18
96	Port96	RP	35	47
97	Port97	RP	44	23
98	Port98	RP	71	21
99	Port99	RP	0	60
100	Port100	RP	37	25
101	Port101	RP	52	3
102	Port102	RP	9	67
103	Port103	RP	12	8
104	Port104	RP	31	20
105	Port105	RP	25	42
106	Port106	RP	13	49
107	Port107	RP	57	8
108	Port108	RP	85	15
109	Port109	RP	48	30
110	Port110	RP	5	17
111	Port111	RP	7	36
112	Port112	RP	13	26
113	Port113	RP	6	12
114	Port114	RP	6	8
115	Port115	RP	32	16
116	Port116	RP	12	12
117	Port117	RP	12	73
118	Port118	RP	0	7
119	Port119	RP	53	23
120	Port120	RP	4	42
121	Port121	RP	26	7
122	Port122	RP	10	26
123	Port123	RP	64	33
124	Port124	RP	6	9
125	Port125	RP	27	63
126	Port126	RP	25	62
127	Port127	RP	6	14
128	Port128	RP	0	5
129	Port129	RP	39	56
130	Port130	RP	54	40
131	Port131	RP	12	4
132	Port132	RP	34	5
