%randomly generated instance
%vessels
3
100	25000	0.23
200	30000	0.28
300	35000	0.33
%ports
30
1	ContinentalPort	CP	0	0
2	Port2	RP	18	33
3	Port3	RP	16	72
4	Port4	RP	48	45
5	Port5	RP	51	38
6	Port6	RP	22	55
7	Port7	RP	2	53
8	Port8	RP	18	30
9	Port9	RP	0	1
10	Port10	RP	3	75
11	Port11	RP	0	9
12	Port12	RP	5	41
13	Port13	RP	63	11
14	Port14	RP	34	10
15	Port15	RP	35	9
16	Port16	RP	36	22
17	Port17	RP	2	63
18	Port18	RP	27	16
19	Port19	RP	11	22
20	Port20	RP	6	12
21	Port21	RP	16	70
22	Port22	RP	1	48
23	Port23	RP	51	37
24	Port24	RP	12	13
25	Port25	RP	40	48
26	Port26	RP	65	19
27	Port27	RP	27	13
28	Port28	RP	39	4
29	Port29	RP	30	27
30	Port30	RP	45	52
%distance table
0.000	1083.552	1134.977	1158.050	1222.072	1052.319	914.514	977.366	964.437	793.951	746.390	924.603	1066.127	1252.442	1121.730	1193.222	1231.578	1146.995	1101.492	940.426	1029.439	1037.536	958.103	887.577	860.163	892.662	819.474	914.859	855.646	1051.246
1083.552	0.000	169.233	1172.016	1705.401	1781.999	1994.312	1867.895	1778.529	1327.520	834.474	323.926	21.233	516.430	840.883	1101.419	1735.871	1770.629	1933.077	1963.906	2111.580	2101.513	1947.174	1810.926	1573.787	1328.006	1066.836	673.630	394.983	62.397
1134.977	169.233	0.000	1052.004	1621.933	1733.061	2031.255	1974.654	1894.590	1461.545	980.610	483.696	185.557	349.024	705.893	972.179	1654.285	1705.321	1897.607	1972.524	2163.002	2168.179	2036.811	1911.630	1697.435	1470.467	1214.036	835.202	547.208	133.726
1158.050	1172.016	1052.004	0.000	664.377	941.446	1703.545	2122.034	2121.569	1894.224	1605.715	1339.035	1174.486	804.845	361.490	114.677	702.070	828.123	1155.973	1478.960	1907.250	2011.308	2054.404	2025.629	2011.458	1966.661	1794.164	1608.991	1343.617	1109.799
1222.072	1705.401	1621.933	664.377	0.000	390.926	1361.927	2033.041	2082.986	2014.957	1884.932	1781.563	1701.864	1437.795	1002.626	778.772	38.029	216.369	597.321	1056.715	1583.690	1739.608	1891.272	1928.740	2042.436	2114.666	2016.695	1966.800	1758.696	1644.388
1052.319	1781.999	1733.061	941.446	390.926	0.000	988.688	1730.848	1801.167	1813.980	1780.211	1787.345	1773.959	1620.300	1221.696	1052.289	366.543	180.673	218.376	671.205	1210.624	1378.006	1563.337	1626.496	1794.611	1923.937	1871.782	1906.180	1747.309	1725.410
914.514	1994.312	2031.255	1703.545	1361.927	988.688	0.000	906.038	1032.547	1296.214	1545.641	1833.244	1977.567	2088.947	1833.666	1787.112	1344.854	1167.321	845.787	339.153	222.092	401.610	674.085	815.888	1135.281	1416.364	1506.390	1762.047	1760.088	1958.440
977.366	1867.895	1974.654	2122.034	2033.041	1730.848	906.038	0.000	161.250	648.389	1118.836	1592.919	1847.047	2174.056	2096.883	2165.913	2029.210	1886.057	1657.991	1208.834	783.524	599.894	253.285	104.569	374.431	736.176	953.896	1358.434	1509.053	1859.209
964.437	1778.529	1894.590	2121.569	2082.986	1801.167	1032.547	161.250	0.000	509.489	999.976	1491.128	1757.441	2113.888	2068.959	2157.355	2081.976	1948.500	1745.239	1318.773	928.134	752.597	407.842	220.026	229.211	586.996	819.011	1236.045	1407.679	1774.474
793.951	1327.520	1461.545	1894.224	2014.957	1813.980	1296.214	648.389	509.489	0.000	508.195	1020.284	1306.302	1723.070	1764.119	1904.982	2023.278	1927.655	1819.394	1499.756	1269.105	1141.594	839.655	644.440	280.400	120.874	309.892	735.240	939.384	1333.451
746.390	834.474	980.610	1605.715	1884.932	1780.211	1545.641	1118.836	999.976	508.195	0.000	517.613	813.503	1274.034	1400.600	1589.581	1902.260	1851.471	1845.942	1655.779	1584.637	1506.071	1261.933	1087.960	777.316	494.291	233.447	241.193	440.074	848.409
924.603	323.926	483.696	1339.035	1781.563	1787.345	1833.244	1592.919	1491.128	1020.284	517.613	0.000	303.840	812.141	1052.358	1290.062	1807.474	1808.637	1908.643	1855.067	1923.248	1887.350	1697.404	1545.465	1277.744	1011.771	747.465	351.509	83.878	350.425
1066.127	21.233	185.557	1174.486	1701.864	1773.959	1977.567	1847.047	1757.441	1306.302	813.503	303.840	0.000	530.626	846.463	1105.566	1732.054	1764.628	1923.386	1949.636	2093.700	2082.600	1927.004	1790.296	1552.586	1306.953	1045.949	654.087	374.174	66.583
1252.442	516.430	349.024	804.845	1437.795	1620.300	2088.947	2174.056	2113.888	1723.070	1274.034	812.141	530.626	0.000	443.658	705.872	1473.380	1558.276	1808.992	1973.684	2247.574	2283.590	2200.759	2099.814	1934.784	1748.578	1505.127	1159.531	863.285	469.705
1121.730	840.883	705.893	361.490	1002.626	1221.696	1833.666	2096.883	2068.959	1764.119	1400.600	1052.358	846.463	443.658	0.000	268.309	1039.091	1139.080	1423.732	1662.797	2017.830	2089.633	2072.400	2009.012	1925.540	1818.100	1611.813	1358.649	1072.916	780.111
1193.222	1101.419	972.179	114.677	778.772	1052.289	1787.112	2165.913	2157.355	1904.982	1589.581	1290.062	1105.566	705.872	268.309	0.000	816.516	942.136	1265.550	1573.901	1986.753	2083.077	2110.285	2071.668	2036.726	1971.570	1786.889	1575.925	1301.306	1039.800
1231.578	1735.871	1654.285	702.070	38.029	366.543	1344.854	2029.210	2081.976	2023.278	1902.260	1807.474	1732.054	1473.380	1039.091	816.516	0.000	188.224	568.483	1035.672	1566.839	1725.531	1883.438	1924.785	2045.589	2124.192	2030.590	1987.959	1783.324	1675.038
1146.995	1770.629	1705.321	828.123	216.369	180.673	1167.321	1886.057	1948.500	1927.655	1851.471	1808.637	1764.628	1558.276	1139.080	942.136	188.224	0.000	380.979	851.858	1389.388	1553.782	1727.957	1781.495	1928.044	2033.607	1961.302	1958.296	1776.205	1711.633
1101.492	1933.077	1897.607	1155.973	597.321	218.376	845.787	1657.991	1745.239	1819.394	1845.942	1908.643	1923.386	1808.992	1423.732	1265.550	568.483	380.979	0.000	510.193	1063.539	1245.660	1467.960	1555.307	1766.311	1934.445	1912.398	1993.507	1861.392	1878.943
940.426	1963.906	1972.524	1478.960	1056.715	671.205	339.153	1208.834	1318.773	1499.756	1655.779	1855.067	1949.636	1973.684	1662.797	1573.901	1035.672	851.858	510.193	0.000	553.746	740.763	993.873	1111.390	1385.178	1620.270	1662.169	1847.977	1790.823	1919.805
1029.439	2111.580	2163.002	1907.250	1583.690	1210.624	222.092	783.524	928.134	1269.105	1584.637	1923.248	2093.700	2247.574	2017.830	1986.753	1566.839	1389.388	1063.539	553.746	0.000	205.337	533.521	708.400	1069.095	1385.470	1512.801	1813.032	1846.000	2080.547
1037.536	2101.513	2168.179	2011.308	1739.608	1378.006	401.610	599.894	752.597	1141.594	1506.071	1887.350	2082.600	2283.590	2089.633	2083.077	1725.531	1553.782	1245.660	740.763	205.337	0.000	346.609	537.171	916.573	1252.914	1407.673	1741.877	1807.022	2075.932
958.103	1947.174	2036.811	2054.404	1891.272	1563.337	674.085	253.285	407.842	839.655	1261.933	1697.404	1927.004	2200.759	2072.400	2110.285	1883.438	1727.957	1467.960	993.873	533.521	346.609	0.000	200.755	589.700	942.227	1128.740	1502.880	1614.197	1930.715
887.577	1810.926	1911.630	2025.629	1928.740	1626.496	815.888	104.569	220.026	644.440	1087.960	1545.465	1790.296	2099.814	2009.012	2071.668	1924.785	1781.495	1555.307	1111.390	708.400	537.171	200.755	0.000	389.039	743.749	940.335	1329.023	1461.666	1799.329
860.163	1573.787	1697.435	2011.458	2042.436	1794.611	1135.281	374.431	229.211	280.400	777.316	1277.744	1552.586	1934.784	1925.540	2036.726	2045.589	1928.044	1766.311	1385.178	1069.095	916.573	589.700	389.039	0.000	361.746	590.160	1010.706	1194.996	1573.717
892.662	1328.006	1470.467	1966.661	2114.666	1923.937	1416.364	736.176	586.996	120.874	494.291	1011.771	1306.953	1748.578	1818.100	1971.570	2124.192	2033.607	1934.445	1620.270	1385.470	1252.914	942.227	743.749	361.746	0.000	267.825	700.915	934.226	1339.542
819.474	1066.836	1214.036	1794.164	2016.695	1871.782	1506.390	953.896	819.011	309.892	233.447	747.465	1045.949	1505.127	1611.813	1786.889	2030.590	1961.302	1912.398	1662.169	1512.801	1407.673	1128.740	940.335	590.160	267.825	0.000	433.767	671.929	1081.732
914.859	673.630	835.202	1608.991	1966.800	1906.180	1762.047	1358.434	1236.045	735.240	241.193	351.509	654.087	1159.531	1358.649	1575.925	1987.959	1958.296	1993.507	1847.977	1813.032	1741.877	1502.880	1329.023	1010.706	700.915	433.767	0.000	297.226	701.894
855.646	394.983	547.208	1343.617	1758.696	1747.309	1760.088	1509.053	1407.679	939.384	440.074	83.878	374.174	863.285	1072.916	1301.306	1783.324	1776.205	1861.392	1790.823	1846.000	1807.022	1614.197	1461.666	1194.996	934.226	671.929	297.226	0.000	413.598
1051.246	62.397	133.726	1109.799	1644.388	1725.410	1958.440	1859.209	1774.474	1333.451	848.409	350.425	66.583	469.705	780.111	1039.800	1675.038	1711.633	1878.943	1919.805	2080.547	2075.932	1930.715	1799.329	1573.717	1339.542	1081.732	701.894	413.598	0.000
EOF
