%randomly generated instance
%vessels
3
100	25000	0.23
200	30000	0.28
300	35000	0.33
%ports
61
1	ContinentalPort	CP	0	0
2	Port2	RP	18	9
3	Port3	RP	6	7
4	Port4	RP	6	10
5	Port5	RP	9	10
6	Port6	RP	25	66
7	Port7	RP	52	24
8	Port8	RP	74	10
9	Port9	RP	33	53
10	Port10	RP	23	57
11	Port11	RP	8	2
12	Port12	RP	11	23
13	Port13	RP	53	16
14	Port14	RP	46	11
15	Port15	RP	49	49
16	Port16	RP	33	2
17	Port17	RP	2	5
18	Port18	RP	0	30
19	Port19	RP	25	51
20	Port20	RP	1	2
21	Port21	RP	28	7
22	Port22	RP	14	1
23	Port23	RP	6	43
24	Port24	RP	7	47
25	Port25	RP	1	33
26	Port26	RP	3	51
27	Port27	RP	25	7
28	Port28	RP	41	15
29	Port29	RP	31	5
30	Port30	RP	3	58
31	Port31	RP	45	29
32	Port32	RP	28	2
33	Port33	RP	27	22
34	Port34	RP	2	21
35	Port35	RP	12	17
36	Port36	RP	55	5
37	Port37	RP	1	47
38	Port38	RP	1	61
39	Port39	RP	42	33
40	Port40	RP	34	16
41	Port41	RP	60	23
42	Port42	RP	2	3
43	Port43	RP	60	1
44	Port44	RP	42	23
45	Port45	RP	84	5
46	Port46	RP	66	17
47	Port47	RP	17	48
48	Port48	RP	11	73
49	Port49	RP	51	19
50	Port50	RP	0	65
51	Port51	RP	5	12
52	Port52	RP	53	12
53	Port53	RP	2	3
54	Port54	RP	6	8
55	Port55	RP	10	4
56	Port56	RP	57	10
57	Port57	RP	51	11
58	Port58	RP	11	21
59	Port59	RP	17	42
60	Port60	RP	23	70
61	Port61	RP	2	4
%distance table
0.000	2368.502	2047.830	1705.380	1538.012	1428.490	1246.988	1219.088	1192.825	1325.153	1852.052	2018.736	2276.486	2219.132	1949.961	1674.477	1463.351	1318.393	1104.834	1085.791	1508.489	1727.061	2427.868	1755.490	1120.173	1561.874	1861.516	1392.027	1304.906	1925.689	1660.688	1505.350	1488.872	1317.425	1371.778	1549.221	1645.815	1802.114	2071.694	2179.611	1065.344	1001.918	1193.832	3268.135	3126.763	2773.127	3077.921	3214.148	3427.198	3343.577	3219.796	3077.049	2954.227	2766.366	2951.770	3114.344	3496.094	2942.457	2920.038	3276.616	3252.199
2368.502	0.000	419.754	878.812	1144.688	1345.045	1815.283	1945.346	1455.611	1146.819	516.560	357.937	153.312	407.433	716.923	1099.402	1567.569	1931.558	1810.063	1592.308	883.545	648.012	347.182	1322.589	1294.911	807.379	605.512	1127.571	1273.605	463.130	857.756	1202.786	1514.983	1614.020	1390.137	1029.644	879.220	601.107	307.092	191.005	1740.650	2166.027	2190.654	1420.997	1390.893	1515.809	1639.322	1608.395	1721.449	1829.778	1890.637	1800.469	1715.430	1607.076	1260.629	1242.376	1681.408	1434.696	1809.884	1555.927	1514.219
2047.830	419.754	0.000	460.428	726.488	927.062	1398.061	1528.424	1050.696	761.817	317.030	321.907	274.369	193.751	312.435	680.446	1147.822	1512.530	1398.870	1189.947	540.060	352.350	702.643	912.417	937.316	520.921	198.297	728.906	870.245	169.965	447.556	784.610	1095.283	1196.192	973.738	616.555	468.605	250.579	181.712	268.141	1333.567	1757.184	1774.498	1411.302	1330.294	1296.653	1488.582	1513.191	1671.098	1717.673	1725.218	1613.256	1510.460	1369.802	1169.263	1232.022	1672.391	1288.967	1578.549	1501.151	1463.624
1705.380	878.812	460.428	0.000	266.068	466.634	937.696	1068.121	606.923	381.234	539.202	673.524	734.710	566.194	246.371	244.330	692.734	1052.780	943.267	748.012	350.090	415.593	1130.610	511.073	594.613	461.915	279.356	315.500	434.619	461.755	85.094	324.192	641.577	735.764	513.993	168.589	81.987	347.122	598.332	710.757	883.271	1303.059	1314.429	1584.177	1459.633	1239.038	1501.479	1588.858	1783.804	1759.310	1702.304	1570.230	1451.908	1278.764	1284.180	1420.959	1827.217	1327.538	1478.311	1621.437	1591.297
1538.012	1144.688	726.488	266.068	0.000	200.586	671.797	802.306	371.079	298.003	771.763	922.321	1000.732	822.485	481.490	138.786	434.107	787.253	683.602	509.224	469.007	629.028	1388.039	350.172	496.045	612.711	542.248	210.778	234.015	716.871	299.009	58.124	385.757	469.714	249.907	137.344	278.281	590.009	860.109	974.401	630.737	1043.802	1048.879	1730.582	1589.142	1279.676	1569.151	1686.838	1895.127	1833.869	1742.644	1603.590	1481.031	1297.097	1413.924	1579.803	1958.698	1416.757	1481.170	1741.130	1715.589
1428.490	1345.045	927.062	466.634	200.586	0.000	471.291	601.855	236.261	370.926	957.448	1114.217	1201.317	1019.658	674.979	288.645	251.652	587.811	491.111	352.996	620.011	809.378	1583.231	337.909	504.956	766.795	741.615	308.111	213.917	912.653	494.291	142.479	212.876	269.131	60.533	323.569	473.004	782.249	1058.398	1173.501	448.879	850.032	848.620	1861.327	1710.680	1348.145	1650.281	1786.672	2001.541	1916.080	1802.150	1660.283	1536.944	1349.493	1537.963	1719.753	2077.853	1514.891	1518.146	1854.617	1832.338
1246.988	1815.283	1398.061	937.696	671.797	471.291	0.000	130.649	416.437	747.875	1406.063	1570.487	1672.392	1488.138	1141.228	744.514	300.707	142.899	147.108	341.406	1037.309	1253.391	2043.112	649.128	759.611	1178.931	1210.549	723.534	578.711	1375.909	960.170	613.736	351.307	202.671	425.408	787.661	938.672	1241.712	1524.979	1641.282	223.504	411.964	377.804	2219.682	2055.793	1611.085	1923.513	2090.628	2312.728	2183.111	2028.099	1886.036	1766.590	1582.306	1891.662	2096.630	2411.403	1824.131	1711.247	2182.045	2166.182
1219.088	1945.346	1528.424	1068.121	802.306	601.855	130.649	0.000	531.388	866.888	1531.513	1697.294	1802.776	1618.638	1271.576	874.406	421.949	99.699	194.578	436.139	1158.555	1378.297	2170.404	767.137	859.978	1298.357	1340.367	847.646	701.034	1504.391	1089.542	744.269	474.567	333.313	555.229	917.016	1068.033	1369.560	1654.122	1770.682	290.410	304.773	247.226	2329.082	2162.965	1703.693	2016.004	2188.916	2411.690	2272.786	2109.309	1968.207	1850.597	1668.739	2001.221	2210.181	2514.944	1924.910	1787.496	2285.016	2270.583
1192.825	1455.611	1050.696	606.923	371.079	236.261	416.437	531.388	0.000	336.608	1010.769	1181.160	1321.868	1172.907	843.665	496.341	364.744	557.696	362.943	141.110	629.784	856.547	1654.835	570.866	358.200	767.572	854.087	330.010	182.126	1000.012	603.264	325.905	359.308	270.462	182.495	439.359	582.411	861.882	1154.393	1272.763	285.541	711.319	759.783	2088.409	1940.807	1584.278	1886.510	2021.543	2235.510	2152.315	2037.365	1895.296	1771.987	1584.352	1767.108	1942.656	2308.969	1749.800	1750.157	2087.033	2063.927
1325.153	1146.819	761.817	381.234	298.003	370.926	747.875	866.888	336.608	0.000	679.342	852.559	1022.813	911.575	624.818	424.395	613.023	886.056	698.325	458.652	293.524	525.251	1324.823	641.773	216.742	431.486	564.289	88.128	174.209	684.495	337.515	308.836	581.289	574.920	372.235	238.735	321.447	545.886	840.766	959.109	615.404	1037.733	1096.151	1961.261	1831.585	1563.195	1844.194	1948.251	2149.667	2106.816	2027.830	1890.441	1768.675	1586.817	1655.694	1800.312	2200.566	1681.649	1774.667	1990.275	1961.763
1852.052	516.560	317.030	539.202	771.763	957.448	1406.063	1531.513	1010.769	679.342	0.000	176.306	440.757	504.056	533.312	783.092	1204.027	1536.264	1373.627	1137.834	391.431	154.287	645.518	1049.525	795.457	292.840	302.285	684.316	832.343	148.997	477.295	825.318	1157.137	1214.541	989.098	636.592	496.441	193.820	233.624	329.450	1293.737	1717.049	1768.454	1724.900	1647.039	1595.484	1800.318	1829.776	1987.906	2032.869	2033.329	1917.473	1811.040	1661.902	1486.282	1544.828	1986.767	1602.397	1870.346	1817.928	1780.219
