%randomly generated instance
%vessels
3
100	25000	0.23
200	30000	0.28
300	35000	0.33
%ports
50
1	ContinentalPort	CP	0	0
2	Port2	RP	18	26
3	Port3	RP	27	22
4	Port4	RP	45	41
5	Port5	RP	1	2
6	Port6	RP	20	59
7	Port7	RP	30	29
8	Port8	RP	11	31
9	Port9	RP	22	1
10	Port10	RP	30	13
11	Port11	RP	2	32
12	Port12	RP	33	10
13	Port13	RP	1	5
14	Port14	RP	4	3
15	Port15	RP	3	32
16	Port16	RP	50	2
17	Port17	RP	1	3
18	Port18	RP	1	46
19	Port19	RP	51	16
20	Port20	RP	6	24
21	Port21	RP	12	16
22	Port22	RP	22	59
23	Port23	RP	72	11
24	Port24	RP	3	73
25	Port25	RP	77	16
26	Port26	RP	42	7
27	Port27	RP	6	69
28	Port28	RP	13	34
29	Port29	RP	0	25
30	Port30	RP	0	74
31	Port31	RP	7	17
32	Port32	RP	4	7
33	Port33	RP	5	28
34	Port34	RP	35	32
35	Port35	RP	44	13
36	Port36	RP	9	13
37	Port37	RP	16	5
38	Port38	RP	4	4
39	Port39	RP	18	59
40	Port40	RP	39	40
41	Port41	RP	0	77
42	Port42	RP	6	81
43	Port43	RP	25	75
44	Port44	RP	43	16
45	Port45	RP	25	70
46	Port46	RP	27	45
47	Port47	RP	17	48
48	Port48	RP	10	59
49	Port49	RP	2	5
50	Port50	RP	4	5
%distance table
0.000	769.363	639.676	703.037	720.741	759.971	736.625	665.715	715.270	693.387	979.546	1009.971	1008.403	905.670	898.993	930.685	904.148	879.337	556.784	617.486	723.302	792.231	811.289	562.028	617.444	658.569	604.308	250.375	291.875	295.638	533.105	570.953	623.129	682.402	721.420	659.062	678.545	605.039	430.691	507.706	790.234	760.872	748.002	797.669	776.999	792.247	794.407	734.933	569.073	504.891
769.363	0.000	419.272	178.133	455.128	821.891	141.831	203.075	137.445	275.174	830.098	1078.866	1240.082	1389.430	1447.625	1403.190	1369.728	1385.070	1167.781	1346.161	1488.838	1561.177	1574.046	1292.170	1330.766	1392.058	1353.050	933.798	999.276	998.962	864.181	684.799	585.945	493.140	427.484	425.033	502.603	556.839	681.396	810.756	1027.363	1124.506	1125.082	1108.544	1041.029	1135.127	1194.095	1141.530	1164.596	1113.487
639.676	419.272	0.000	242.609	85.749	402.683	284.853	217.009	282.868	150.921	1152.197	1338.317	1441.814	1475.422	1497.997	1495.871	1464.872	1458.615	845.094	1083.171	1276.041	1382.485	1423.395	1034.828	1054.916	1130.874	1113.174	876.084	927.673	930.490	985.006	874.252	823.533	779.348	745.924	712.479	784.975	791.482	800.636	935.890	612.713	724.349	727.707	699.890	628.969	730.398	797.221	749.735	835.030	796.541
703.037	178.133	242.609	0.000	277.951	644.586	45.038	39.601	40.692	97.343	968.492	1191.216	1328.264	1428.369	1471.736	1445.172	1412.442	1418.564	1033.581	1237.641	1402.191	1489.300	1513.989	1185.438	1216.872	1284.672	1254.034	903.043	964.253	965.256	910.288	757.957	679.396	608.133	557.241	538.215	615.929	647.829	721.168	857.460	854.047	958.340	960.149	938.409	869.110	966.900	1029.558	979.066	1027.624	981.048
720.741	455.128	85.749	277.951	0.000	380.573	314.074	262.591	318.274	180.700	1220.963	1415.772	1524.078	1561.169	1583.491	1581.600	1550.582	1544.348	889.271	1140.017	1340.824	1451.814	1496.150	1093.347	1109.163	1187.669	1174.413	959.535	1010.101	1013.083	1069.694	955.045	900.023	850.038	811.719	781.999	856.212	867.892	884.641	1020.281	606.074	732.788	738.362	700.394	626.186	734.613	807.285	764.166	877.119	843.274
759.971	821.891	402.683	644.586	380.573	0.000	685.506	619.605	685.096	549.680	1511.300	1656.201	1718.316	1665.016	1657.270	1689.591	1662.296	1639.263	658.896	953.701	1190.811	1328.046	1396.896	919.260	910.902	998.364	1011.021	1007.835	1038.123	1043.368	1238.169	1179.972	1158.375	1138.788	1119.500	1077.150	1142.482	1127.757	1074.872	1197.070	236.157	388.189	399.234	339.386	262.365	379.819	462.627	433.821	638.473	629.649
736.625	141.831	284.853	45.038	314.074	685.506	0.000	82.798	23.358	135.916	952.040	1183.638	1327.994	1441.146	1488.125	1457.226	1424.269	1432.648	1077.594	1278.943	1440.472	1525.256	1547.914	1226.466	1258.842	1325.856	1294.046	930.334	992.582	993.322	920.143	760.234	675.754	597.897	542.201	527.987	606.233	644.672	731.738	866.969	897.195	1002.873	1004.806	982.349	912.666	1011.163	1074.238	1023.907	1071.860	1024.880
665.715	203.075	217.009	39.601	262.591	619.605	82.798	0.000	71.192	85.723	968.386	1182.775	1313.501	1403.451	1444.245	1420.769	1388.223	1392.714	994.804	1198.040	1363.014	1450.831	1476.310	1145.841	1177.305	1245.071	1214.523	868.914	929.493	930.644	888.017	741.964	668.581	603.357	557.066	533.783	610.636	636.715	698.720	835.540	824.607	925.297	926.663	907.083	838.752	934.691	995.967	944.795	989.067	942.125
715.270	137.445	282.868	40.692	318.274	685.096	23.358	71.192	0.000	137.863	935.978	1164.461	1306.905	1418.051	1464.817	1434.193	1401.256	1409.457	1063.416	1261.415	1420.896	1504.596	1526.529	1208.719	1241.925	1308.222	1275.534	907.547	969.947	970.644	897.297	738.518	655.344	579.392	525.404	509.433	587.555	624.125	708.790	844.155	893.582	996.107	997.607	977.165	908.297	1005.186	1066.943	1015.913	1058.140	1010.385
693.387	275.174	150.921	97.343	180.700	549.680	135.916	85.723	137.863	0.000	1053.944	1265.361	1391.173	1467.223	1502.825	1485.451	1453.270	1454.738	973.694	1193.917	1371.356	1466.972	1498.547	1143.241	1169.740	1241.393	1216.351	910.288	968.169	969.905	957.116	819.176	750.176	687.987	642.691	618.588	695.083	718.171	768.148	905.300	763.483	874.091	876.951	850.701	779.889	880.832	946.479	897.876	965.779	922.822
